Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
Disruption of GitHub,3/27/2015,,"A threat actor launched a denial of service attack against GitHub to prevent access to internet content banned in China, such as the New York Times. The incident was the first in which threat actors, believed to be associated with the government of China, used a tool dubbed the Great Cannon.",,GitHub,China,Denial of service,Private sector,http://arstechnica.com/security/2015/04/ddos-attacks-that-crippled-github-linked-to-great-firewall-of-china/,https://citizenlab.org/2015/04/chinas-great-cannon/,http://www.techrepublic.com/article/chinese-government-linked-to-largest-ddos-attack-in-github-history/,"Errata Security, CitizenLab",
Compromise of the Permanent Court of Arbitration's website,10/16/2015,,"A threat actor compromised the website of the Permanent Course of Arbitration for espionage purposes, intending to compromise visitors to the website.",,Permanent Court of Arbitration,China,Political Espionage,Government,https://web.archive.org/web/20151031022526/https://threatconnect.com/china-hacks-the-peace-palace-all-your-eezs-are-belong-to-us/,https://web.archive.org/web/20170519164504/https://www.bloomberg.com/news/articles/2015-10-15/chinese-cyber-spies-fish-for-enemies-in-south-china-sea-dispute,,ThreatConnect,
Compromise of unclassified White House networks,4/7/2015,Suspected to be the work of the Dukes,Threat actors compromised unclassified White House networks using access from compromised networks at the State Department.,,"White House, U.S Department of State",Russian Federation,Political Espionage,Government,http://www.usatoday.com/story/news/2015/04/07/cnn-reports-white-house-hacked/25432021/,http://www.forbes.com/sites/thomasbrewster/2015/04/08/russians-hacked-white-house-cnn/#44f700cf2c68,http://www.nytimes.com/2015/04/26/us/russian-hackers-read-obamas-unclassified-emails-officials-say.html?_r=0,"FBI, US Intelligence",APT 29
Compromise of South Korean government computers (2015),10/20/2015,,"A threat actor compromised government networks affiliated with members of the South Korean parliament. The threat actor also attempted to compromise the Foreign Ministry, Defense Ministry, and the Blue House.",Denouncement   http://www.upi.com/Top_News/World-News/2015/10/20/Spy-agency-North-Korea-hackers-stole-sensitive-South-Korean-data/9041445353950/,Members of the National Assembly,Korea (Democratic People's Republic of),Government Espionage,Government,http://www.upi.com/Top_News/World-News/2015/10/20/Spy-agency-North-Korea-hackers-stole-sensitive-South-Korean-data/9041445353950/,http://www.scmagazine.com/north-korean-hackers-breach-south-koreas-executive-office-servers/article/448582/,,NIS,
Blue Termite,8/20/2015,This threat actor is believed to have been responsible for the Japan Pension Service incident. It is also known as Emdivi??and Cloudy Omega.,"This threat actor targets Japanese entities in the government, manufacturing, finance, space, education, food, and medical sectors for espionage purposes.",,Japan,Unknown,Espionage,"Government, Private sector",https://web.archive.org/web/20160303010953/http://www.kaspersky.com/about/news/virus/2015/Blue-Termite-A-Sophisticated-Cyber-Espionage-Campaign-is-After-High-Profile-Japanese-Targets,http://www.symantec.com/connect/blogs/operation-cloudyomega-ichitaro-zero-day-and-ongoing-cyberespionage-campaign-targeting-japan,http://blog.trendmicro.com/trendlabs-security-intelligence/attackers-target-organizations-in-japan-transform-local-sites-into-cc-servers-for-emdivi-backdoor/,N/A,
Attempted compromise of the Dutch organization investigating the crash of flight MH17,10/22/2015,Possibly attributed to APT 28,"A threat actor attempted to compromise the networks of the Dutch Safety Board, the group charged with investigating the crash of Malaysia Airlines Flight 17, which crashed in Ukraine.",,Dutch Safety Board,Russian Federation,Misc Espionage,Government,http://blog.trendmicro.com/trendlabs-security-intelligence/pawn-storm-targets-mh17-investigation-team/,http://www.nu.nl/internet/4150895/hackers-vielen-onderzoeksraad-rond-publicatie-rapport-mh17.html,,TrendMicro,APT 28
Compromise of networks in the Saudi government ministries,5/21/2015,Believed to be the work of Saffron Rose,A threat actor compromised the networks of several Saudi government ministries for the purposes of espionage and doxing.,,"Ministry of Foreign Affairs, Ministry of the Interior, Ministry of Defense",Iran (Islamic Republic of),Political Espionage,"Government, Military",http://en.farsnews.com/newstext.aspx?nn=13940231000544,https://www.buzzfeed.com/sheerafrenkel/who-is-the-yemen-cyber-army?utm_term=.jgnOjy5pK#.vmO93vWzl,http://motherboard.vice.com/read/theres-evidence-the-yemen-cyber-army-is-actually-iranian,"ClearSky, TrendMicro, FireEye",Saffron Rose
Compromise of social media accounts of State Department officials,11/24/2015,,A threat actor compromised social media accounts of junior State Department staff to launch spear-phishing campaigns for espionage purposes.,,U.S. Department of State,Iran (Islamic Republic of),Political Espionage,Government,http://www.wsj.com/articles/u-s-detects-flurry-of-iranian-hacking-1446684754,http://www.nytimes.com/2015/11/25/world/middleeast/iran-hackers-cyberespionage-state-department-social-media.html,,Unknown,
Compromise of the networks at the German parliament (Bundestag),5/29/2015,Believed to be the work of APT 28,A threat actor compromised the networks of the German parliament for the purpose of espionage.,Denouncement   http://www.reuters.com/article/us-germany-russia-cyber-idUSKCN0Y41FC,Bundestag,Russian Federation,Political Espionage,Government,http://www.dw.com/en/data-stolen-during-hack-attack-on-german-parliament-berlin-says/a-18486900,http://www.reuters.com/article/us-germany-russia-cyber-idUSKCN0Y41FC,http://www.wsj.com/articles/german-parliament-struggles-to-purge-hackers-from-computer-network-1434127532,BfV,APT 28
Network compromise at the Australian Bureau of Meteorology,12/1/2015,,A threat actor compromised the networks of Australia's Bureau of Meteorology for espionage purposes.,,Bureau of Meteorology,China,Espionage,Government,http://www.abc.net.au/news/2015-12-02/china-blamed-for-cyber-attack-on-bureau-of-meteorology/6993278,http://www.reuters.com/article/us-australia-cyber-idUSKCN12C06J,https://www.acsc.gov.au/publications/ACSC_Threat_Report_2016.pdf,ASPI,
Compromise of the Japanese pension system,6/1/2015,Linked to Blue Termite,A threat actor compromised the networks of the Japan Pension Service and gained access to the pension records of over 1.25 million individuals.,,Japan Pension Service,Unknown,Misc Espionage,Government,http://www.reuters.com/article/us-japan-pensions-attacks-idUSKBN0OH1OP20150601,http://www.japantimes.co.jp/news/2015/06/01/national/crime-legal/japan-pension-system-hacked-1-25-million-cases-personal-data-leaked/#.Vw5ajfkrKUk,http://www.securityweek.com/blue-termite-apt-targets-japanese-organizations,N/A,
Equation Group,2/16/2015,"Also known as Tilded Team, it is associated with Flame, Stuxnet, Regin, Gauss, and Duqu.","In 2015, Moscow-based Kaspersky Lab published a report on the Equation Group, a threat actor active since 2001 [PDF]. It was responsible for infecting approximately five hundred systems in at least forty-two countries. The malware used by Equation Group had the ability to reprogram hard drives and then self-destruct, which made the operations effectively invisible and indestructible. Targeted systems ranged from the private to the public sector, from energy departments to military operations to media outlets.

The tools and scope of the Equation Group suggest that it is one of the most sophisticated threat actors operating in cyberspace. Many believe that Equation Group is a state-sponsored entity, such as the U.S. National Security Agency or a joint effort between it and its Five Eyes allies.",,"Iran, Russia, Pakistan, Afghanistan, India, China, Syria, Mali, Lebanon, Yemen, Algeria, United Arab Emirates, Kenya, United Kingdom, Libya",United States,Espionage,"Government, Military",https://securelist.com/blog/research/68750/equation-the-death-star-of-malware-galaxy/,http://www.reuters.com/article/us-usa-cyberspying-idUSKBN0LK1QV20150216,http://arstechnica.com/security/2015/02/how-omnipotent-hackers-tied-to-the-nsa-hid-for-14-years-and-were-found-at-last/,Kaspersky,
Compromise of a Pentagon legacy system,6/4/2015,Suspected to be the work of the Dukes,A threat actor compromised a legacy unclassified network at the Department of Defense.,Denouncement   http://www.defense.gov/News/Transcripts/Transcript-View/Article/607043,Pentagon,Russian Federation,Military Espionage,Military,http://www.defense.gov/News/Transcripts/Transcript-View/Article/607043,http://www.cnn.com/2015/04/23/politics/russian-hackers-pentagon-network/,https://fcw.com/Articles/2015/04/23/Carter-Russian-hack.aspx,DoD,ATP 29
Compromise at the Office of Personnel Management,7/10/2015,Suspected to be the work of Deep Panda,"A threat actor compromised the networks of the U.S. Office of Personnel Management, exposing the data of at least 22.1 million people who have applied for a U.S. security clearance.",Unknown   http://www.nytimes.com/2015/08/01/world/asia/us-decides-to-retaliate-against-chinas-hacking.html?_r=0,Office of Personnel Management,China,Political Espionage,Government,http://www.nytimes.com/2014/07/10/world/asia/chinese-hackers-pursue-key-data-on-us-workers.html?_r=0,http://www.tripwire.com/state-of-security/security-data-protection/cyber-security/the-opm-breach-timeline-of-a-hack/,https://www.washingtonpost.com/news/federal-eye/wp/2015/07/09/hack-of-security-clearance-system-affected-21-5-million-people-federal-authorities-say/,"US Intelligence, CrowdStrike, FBI",ATP 19
Hellsing,4/15/2015,Possibly uses the same infrastructure as??Mirage,"This threat actor uses spear-phishing techniques to compromise diplomatic targets in Southeast Asia, India, and the United States. It also seems to have targeted the APT 30.",,"Malaysia, Philippines, India, Indonesia, United States",China,Political Espionage,Government,https://securelist.com/analysis/publications/69567/the-chronicles-of-the-hellsing-apt-the-empire-strikes-back/,http://arstechnica.com/security/2015/04/elite-cyber-crime-group-strikes-back-after-attack-by-rival-apt-gang/,,Unknown,
Compromise of an unclassified network associated with the U.S. Joint Chiefs of Staff,7/28/2015,Believed to be the work of APT 28,A threat actor compromised an unclassified network used by the U.S. Joint Chiefs of Staff for espionage purposes.,,Joint Chiefs of Staff,Russian Federation,Military Espionage,Military,http://www.cnn.com/2015/07/28/politics/pentagon-takes-computer-system-offline/,http://www.cnbc.com/2015/08/06/russia-hacks-pentagon-computers-nbc-citing-sources.html,http://www.wsj.com/articles/nsa-chief-says-cyberattack-at-pentagon-was-sophisticated-persistent-1441761541,"US officials, NSA",APT 28
Compromise of United Airlines,7/29/2015,Suspected to be the work of Deep Panda,"A threat actor compromised the network of United Airlines for espionage purposes, gaining access to flight manifests.",,United Airlines,China,Espionage,Private sector,https://web.archive.org/web/20170112223302/https://www.bloomberg.com/news/articles/2015-07-29/china-tied-hackers-that-hit-u-s-said-to-breach-united-airlines,https://www.sans.org/reading-room/whitepapers/breaches/united-airlines-2015-data-breach-suggested-near-mid-long-term-mitigating-actions-th-36452,,Unknown,APT 19
